iterno,caseNo,LLR,KLD,nSamps,LR,LambdaLR,score
338,,-36.90890985994169,1.4269638712427442,20,9.346825070257275e-17,73.81781971988337,1.4269638712427442
752,,-46.39521127362639,-0.2596131093097715,30,7.092768041616905e-21,92.79042254725277,-0.2596131093097715
596,,-59.90678771684135,0.05330883763090453,40,9.61197574053124e-27,119.8135754336827,0.05330883763090453
638,,-52.719301765242456,-1.6729596416423476,50,1.2714466842499518e-23,105.43860353048491,-1.6729596416423476
259,,-57.356799341488234,-1.4602194872565957,60,1.231001398614483e-25,114.71359868297647,-1.4602194872565957
751,,-54.086350305669605,-0.8355096131011299,70,3.2403842750681084e-24,108.17270061133921,-0.8355096131011299
172,,-35.26545646429173,1.1697253540640868,80,4.835115532292235e-16,70.53091292858346,1.1697253540640873
337,,-47.87585312889956,-0.07791149200563521,90,1.613545326216258e-21,95.75170625779911,-0.07791149200563521
206,,-33.66383770381133,-0.5605144769168833,100,2.3987282260683683e-15,67.32767540762266,-0.5605144769168808
866,,-36.08345544975684,-0.3689392552217667,110,2.1338034362159629e-16,72.16691089951368,-0.36893925522176646
283,,-28.605765458460283,0.7357050906605302,120,3.772887979331543e-13,57.211530916920566,0.7357050906609075
296,,-29.12275443969869,0.979517867720248,130,2.249823501190038e-13,58.24550887939738,0.9795178677204729
228,,-28.100829056779908,0.16739517774861962,140,6.251223172141242e-13,56.201658113559816,0.16739517774924473
975,,-25.15196189386911,-0.7006413964268703,150,1.1930035622432068e-11,50.30392378773822,-0.7006413964149403
413,,-22.996572129106028,0.6642627162037738,160,1.029711638923309e-10,45.993144258212055,0.6642627163067449
535,,-23.663380521443617,0.4987217137068462,170,5.2859666206476424e-11,47.326761042887235,0.49872171375970586
487,,-20.641904919850933,-0.8921419897652576,180,1.084762335195367e-9,41.28380983970187,-0.8921419886804953
385,,-16.206995359994963,0.739639377089338,190,9.149373289193878e-8,32.413990719989926,0.739639468583071
798,,-18.128023654289063,0.4628212688534996,200,1.3399832175437413e-8,36.256047308578125,0.4628212822533318
315,,-17.10795736013489,-0.2961632486805442,210,3.7162808022186e-8,34.21591472026978,-0.2961632115177362
230,,-16.46612668838599,-0.056615581676292215,220,7.06076961061682e-8,32.93225337677198,-0.05661551106859611
17,,-18.180274659834463,-0.010202652606096521,230,1.271765489242669e-8,36.36054931966893,-0.010202639888441629
810,,-12.741649524889647,0.458817941731178,240,2.9266576352673838e-6,25.483299049779294,0.4588208683888133
714,,-14.519943306928656,0.08913302224485277,250,4.943889373672109e-7,29.039886613857313,0.08913351663379014
696,,-11.74405033262868,0.3050033866509971,260,7.93640359834407e-6,23.48810066525736,0.30501132305459544
707,,-10.435155809458655,0.04468342525353079,270,2.9381192198773727e-5,20.87031161891731,0.044712806445729565
52,,-11.531793384095398,-0.06297972663313375,280,9.81308965830226e-6,23.063586768190795,-0.06296991354347545
244,,-6.416536838704024,-0.14062366197198084,290,0.0016343063119422995,12.833073677408048,-0.13898935566003853
428,,-5.197940312305882,-0.37849486698597506,300,0.005527938530147548,10.395880624611763,-0.3729669284558275
790,,-9.09428815401578,0.2593813455161361,310,1.1230545142183096e-4,18.18857630803156,0.25949365096755794
69,,-11.825349856930877,0.3671316097142216,320,7.316709470611257e-6,23.650699713861755,0.3671389264236922
459,,-9.386277912052908,0.43208174855630294,330,8.386703649878303e-5,18.772555824105815,0.4321656155928017
119,,-7.412998082512891,-0.29431477716235777,340,6.033590599304571e-4,14.825996165025781,-0.2937114181024273
637,,-7.742887192013113,1.0516254946413772,350,4.3381725150985144e-4,15.485774384026225,1.0520593118928872
833,,-6.443320660954155,0.5715354144160129,360,0.0015911143471666203,12.88664132190831,0.5731265287631795
248,,-7.94193493590062,-0.1829353678268405,370,3.5551790798867163e-4,15.88386987180124,-0.18257984991885182
745,,-5.5242184932431675,0.3417107423638276,380,0.003988984892950434,11.048436986486335,0.345699727256778
387,,-7.625919606208699,0.11493598403206419,390,4.876465944288985e-4,15.251839212417398,0.11542363062649309
161,,-5.052702234159746,-0.48267602783584695,400,0.006392037306111872,10.105404468319492,-0.4762839905297351
883,,-5.365338687102045,-0.006055595740765522,410,0.004675876313347653,10.73067737420409,-0.001379719427417869
313,,-5.718016349746591,-0.36164978585267954,420,0.0032862231585900846,11.436032699493182,-0.3583635626940895
874,,-8.13211291061289,0.20241158726383704,430,2.9394646159908915e-4,16.26422582122578,0.20270553372543612
842,,-5.885921572710075,0.6040079745359831,440,0.002778284653851915,11.77184314542015,0.606786259189835
35,,-6.536434668078636,0.3363247033758588,450,0.0014496477717708455,13.072869336157272,0.33777435114762966
600,,-5.351405024112456,0.4818804004451823,460,0.00474148441721879,10.702810048224912,0.4866218848624011
411,,-3.5639203069106955,-0.02213539754459062,470,0.028327554043223672,7.127840613821391,0.006192156498633052
195,,-3.3059836416459705,0.08148808622890771,480,0.03666313071160766,6.611967283291941,0.11815121694051536
122,,-5.605513240187729,-0.46210786688734706,490,0.003677532602288769,11.211026480375457,-0.4584303342850583
150,,-6.143925744702301,0.13031089528474107,500,0.002146480521883105,12.287851489404602,0.13245737580662417
182,,-5.524858674769083,0.08410795429674532,510,0.003986432035748006,11.049717349538167,0.08809438633249332
270,,-5.033169340345758,0.2898584042233997,520,0.006518119659982909,10.066338680691516,0.2963765238833826
946,,-5.38780243088601,-0.18250725502600051,530,0.0045720096111019105,10.77560486177202,-0.1779352454148986
818,,-4.982993582778384,-0.12178253948905135,540,0.006853515252580283,9.965987165556768,-0.11492902423647107
454,,-4.118389825947418,-0.16993468930910452,550,0.01627069200716344,8.236779651894835,-0.15366399730194108
183,,-3.996351728499117,0.01642390762314148,560,0.018382581349999545,7.992703456998234,0.03480648897314102
180,,-4.0090860128857235,0.3870157115038649,570,0.01814997650276301,8.018172025771447,0.4051656880066279
555,,-4.554765658554249,-0.2198555481734127,580,0.010516964504027995,9.109531317108498,-0.2093385836693847
291,,-4.238261055787797,0.1918173080274881,590,0.014432667637944914,8.476522111575594,0.206249975665433
163,,-3.8950617526026745,-0.18019209707458955,600,0.020342118231628965,7.790123505205349,-0.1598499788429606
